task,baseline,candidate,raw_draw_calls,distinct_sampled_rows,population_rows,declared_categories,positive_categories,p_min,exact_archive_target,independent_blocks,kernel_lower,kernel_upper,kernel_range,alpha,by_first_threshold,whole_case_seconds,process_peak_rss_kib,method,estimate,radius,lower,p,log_p,first_threshold_lower,sample_variance,arithmetic_seconds,first_term,second_term,lower_covers_archive_target,p_BY,retained
appliances,ridge,ridge_full,32768,336,336,32,31,0.002976190476190476,0.0011572749277595161,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,13.993456043303013,100328,direct_block_empirical_bernstein,0.01389997165071371,0.1178507467526198,-0.10395077510190609,1.0,0.0,-0.18820537180922983,0.960114228479645,0.8270028047263622,,,True,1.0,False
appliances,ridge,ridge_full,32768,336,336,32,31,0.002976190476190476,0.0011572749277595161,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,13.993456043303013,100328,direct_full_u_hoeffding,0.0024920291829103047,1.138103233351763,-1.1356112041688529,0.9999856370776493,-1.4363025498434518e-05,-1.6182128039809147,,13.151885118335485,0.3051427704722444,0.3026507412893341,True,1.0,False
appliances,ridge,seasonal_day,32768,336,336,32,31,0.002976190476190476,0.007002506283021247,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.021273698657751,99348,direct_block_empirical_bernstein,0.013295356189819984,0.11563501748504103,-0.10233966129522104,1.0,0.0,-0.18580871826313788,0.8208747242025699,0.8280288241803646,,,True,1.0,False
appliances,ridge,seasonal_day,32768,336,336,32,31,0.002976190476190476,0.007002506283021247,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.021273698657751,99348,direct_full_u_hoeffding,0.007993250045937983,1.138103233351763,-1.1301099833058252,0.9998522408466229,-0.00014777007083625302,-1.6127115831178869,,13.178134746849537,0.2871878203602535,0.2791945703143155,True,1.0,False
appliances,ridge,seasonal_week,32768,336,336,32,31,0.002976190476190476,-0.00779300793605948,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.311601210385561,99712,direct_block_empirical_bernstein,0.0034515778038422098,0.11479530700118182,-0.1113437291973396,1.0,0.0,-0.19451508465256717,0.7709549960071596,0.8470091447234154,,,True,1.0,False
appliances,ridge,seasonal_week,32768,336,336,32,31,0.002976190476190476,-0.00779300793605948,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.311601210385561,99712,direct_full_u_hoeffding,-0.007112099171541653,1.138103233351763,-1.1452153325233048,1.0,-0.0,-1.6278169323353666,,13.449784155935049,0.2760863308959915,0.28319843006753315,True,1.0,False
appliances,seasonal_day,category_copy,32768,336,336,32,30,0.005952380952380952,2.494537832730134e-33,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,16.04676629602909,100172,direct_block_empirical_bernstein,0.012277144243140487,0.07605310318353685,-0.06377595894039637,1.0,0.0,-0.11201758261665114,1.1188171091649108,0.8259814493358135,,,True,1.0,False
appliances,seasonal_day,category_copy,32768,336,336,32,30,0.005952380952380952,2.494537832730134e-33,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,16.04676629602909,100172,direct_full_u_hoeffding,-0.0010629245763255635,0.5701784515603884,-0.5712413761367139,1.0,-0.0,-0.8130199994088956,,15.213343255221844,0.2870715059250529,0.2881344305013785,True,1.0,False
appliances,seasonal_day,extra_trees,32768,336,336,32,30,0.005952380952380952,0.035610794719324566,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.215385060757399,99904,direct_block_empirical_bernstein,0.04331430837096336,0.07627381885890966,-0.0329595104879463,0.3423021405707859,-1.0720614799721648,-0.0812793842178752,1.1344299783507166,0.8331655003130436,,,True,1.0,False
appliances,seasonal_day,extra_trees,32768,336,336,32,30,0.005952380952380952,0.035610794719324566,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.215385060757399,99904,direct_full_u_hoeffding,0.03468557054936727,0.5701784515603884,-0.5354928810110211,0.9889751169964133,-0.011086107436894282,-0.7772715042832027,,14.37476247549057,0.3144855949900185,0.2798000244406512,True,1.0,False
